,data,tfidf_value,row_no,sentence_offset,no_of_sentence,info_about_sentence
0,"BTS members Jungkook, J-Hope, Jin, RM, Suga, V and Jimin are world famous",1.6058509406402912,7,0,15,First Sentence
1,"BTS members RM, Jin, Suga, J-Hope, Jimin, V, and Jungkook released their new album Proof on June 10",1.6118159533352927,493,0,15,First Sentence
2,"BTS members Kim Taehyung, Jungkook, Jimin, Jin, Suga, J-Hope and RM have their unique charms in real life",1.6213783765383618,186,0,17,First Sentence
3,BTS and the BTS ARMY are celebrating 9 years of BTS' debut,1.6263452534942737,420,0,23,First Sentence
4,"BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook featured in a new Bangtan Bomb video",1.6314069554150301,150,0,46,First Sentence
5,"BTS ARMY today we are here with a Bangtan Bomb featuring the septet RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook",1.6320592045447244,10,0,17,First Sentence
6,BTS members Jungkook and Kim Taehyung are now out of Korea,1.6322128485708194,462,0,19,First Sentence
7,"BTS members RM (Kim Namjoon), Jin (Kim Seokjin), Suga (Min Yoongi), J-Hope (Jung Hoseok), Jimin's (Park Jimin)",1.6376949215825,546,0,17,First Sentence
8,"BTS members RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook make for one of the biggest boybands in the world",1.6436622402841607,361,0,23,First Sentence
9,"BTS members Suga, J-Hope, Jimin, V and Jungkook featured in a new Bangtan Bomb video",1.6496138979533763,227,0,21,First Sentence
10,"Hola BTS ARMY, it is BTS member Jeon Jungkook aka Jungkook's birthday today",1.6519565055657999,604,0,23,First Sentence
11,Korean boy band BTS' eldest member Jin is currently serving in the military Jin,1.655453831778108,650,0,9,First Sentence
12,RM aka Kim Namjoon was the first member to join BTS,1.656334162167033,1,0,15,First Sentence
13,"Run BTS' new episode featuring RM, Jin, Suga, J-Hope, Jimin, V and Jungkook is out and it is such an emotional moment for all the ARMYs",1.6563760356707447,202,0,25,First Sentence
14,"BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook featured in a new Bangtan Bomb video from the 2021 American Music Awards",1.6564620273564965,237,0,36,First Sentence
15,BTS' Golden Maknae Jungkook has has quite the year in 2022,1.6576486992798425,112,0,16,First Sentence
16,"Some bonds are very special, just like the bond between BTS and BTS ARMY",1.657671582655258,560,0,18,First Sentence
17,"In a new video, we can see BTS members Jin and RM as there was a photoshoot happening of RM",1.6604536405944592,622,0,13,First Sentence
18,"In the 35-second-long video, BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook are seen on a beach",1.6617459850483505,269,0,19,First Sentence
19,BTS ARMY is missing Kim Seokjin aka Jin who is away serving in the Korean military,1.6638329485151095,662,0,15,First Sentence
20,"BTS ARMY, we know you all are terribly upset that the new Run BTS episode was not released",1.66785911191814,173,0,15,First Sentence
21,"BTS members RM, Suga, J-Hope, Jimin, V, and Jungkook accompanied Jin ahead of his departure",1.66842985772561,51,0,22,First Sentence
22,"BTS members - Taehyung, Suga, RM, Jin, J-Hope, Jimin, and Jungkook, are making news every day for various reasons",1.6689250566818188,102,0,20,First Sentence
23,BTS members RM aka Kim Namjoon and SUGA had the telecast of Suchwita today,1.6691006590173045,107,0,16,First Sentence
24,"BTS members RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook will slowly and gradually enlist in the mandatory service in the South Korean military",1.6695872450296976,663,0,20,First Sentence
25,BTS ARMY we have the best news for you!,1.6730214591969124,418,0,7,First Sentence
26,"The video started with the BTS members wishing ARMY, the group's fandom, a 'happy new year'",1.674042223657773,119,0,16,First Sentence
27,"BTS aka RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook, that is, the Bangtan Boys' Memories of 2021 has been released in a DVD format",1.674261761257943,609,0,21,First Sentence
28,Kim Namjoon aka RM of BTS is celebrating his birthday! And the BTS ARMY is celebrating his special day in the most special manner,1.6754313697879115,166,0,20,First Sentence
29,BTS ARMY especially Kim Taehyung and Jimin fans are worried,1.67548481375836,660,0,15,First Sentence
30,BTS member Jung Hoseok aka J-Hope is on a roll,1.675831354981424,16,0,20,First Sentence
31,BTS' Jungkook aka Jeon Jungkook is one of the most popular K-pop idols in the world,1.6772159584949826,320,0,20,First Sentence
32,"BTS may be on a hiatus but the Bangtan Boys RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook are working tirelessly on their solo projects",1.6772369346423037,294,0,20,First Sentence
33,"BTS ARMY, you all have a goofy video featuring BTS uploaded on Bangtan TV",1.6777879854846864,151,0,16,First Sentence
34,"BTS members RM, Jin, Suga, J-Hope, Jimin, V and Jungkook during their Festa dinner in June spoke about why they wanted a break",1.6779539463841544,323,0,18,First Sentence
35,BTS member Jungkook is a brand in himself,1.6779562461414237,24,0,21,First Sentence
36,BTS' eldest member Kim Seokjin aka Jin enlisted in the South Korean military on 13th December 2022,1.6779584916981825,388,0,18,First Sentence
37,"BTS ARMY, what are you waiting for? Its time to run Its time to run",1.680162009982253,400,0,19,First Sentence
38,BTS leader RM aka Kim Namjoon fans are super excited,1.6812036629106846,463,0,16,First Sentence
39,"BTS members - RM, Jin, Suga, J-Hope, Jimin, Taehyung and Jungkook - have been on a hiatus from excessive group activities",1.6825837813454243,103,0,19,First Sentence
40,"Out of the BTS members, only RM, J-Hope and Taehyung are actively interacting with the ARMYs",1.6834174849103842,349,0,24,First Sentence
41,"Today morning, BTS ARMY and music fans got the news that RM3 is coming soon Kim",1.6858010349430412,163,0,19,First Sentence
42,BTS member J-Hope's full album will be out in some days,1.686692636710357,720,0,18,First Sentence
43,"BTS ARMY, there is no dearth of content as far as BTS goes",1.6867599367447685,156,0,18,First Sentence
44,BTS member SUGA is ruling with his song That That which is a collaboration with PSY,1.6873750747321488,630,0,20,First Sentence
45,It was recently reported that BTS member RM is going to make his solo debut soon While,1.6879607629100797,430,0,12,First Sentence
46,BTS members Jimin and V featured in a new Bangtan Bomb video,1.6881843996116972,178,0,23,First Sentence
